Name,Price,Brand,Model,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price_Currency,Price_URL,Price_Confidence,Price_Title
ATK F1 V2 Extreme,109.98,ATK,F1 V2 Extreme,Medium,118.2,62.4,38.8,38,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,USD,,0.5,
Pulsar X2H CrazyLight Mini,129.95,Pulsar,X2H CrazyLight Mini,Small,115.6,62,38,39,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000,8000,750,50,2,0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar,USD,,0.5,
ATK A9 Ultimate,83.98,ATK,A9 Ultimate,Large,125,64,40,53,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Ultra,Optical,-,42000,8000,750,50,2,0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC,USD,,0.5,
Corsair Sabre v2 Pro,99.99,Corsair,Sabre v2 Pro,Medium,119.3,62.6,38.2,36,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,MARKSMAN S,Optical,Centered (48%),33000,8000,750,50,2,0,No,Transparent Crystal Shell White Dot,Green,Plastic,Wireless,Corsair,Huano,F-Switch,USD,,0.5,
Logitech G Pro X Superlight 2c,159.99,Logitech,G Pro X Superlight 2c,Medium,118.4,61.2,38.6,51,Symmetrical,Right,Center,Outward - slight,Flat,No,No,HERO 2,Optical,Centered (51%),44000,8000,888,88,2,0,No,LIGHTFORCE,Silver,Plastic,Wireless,Logitech,Logitech,TTC,USD,,0.5,
Pulsar X2 CrazyLight Medium,129.95,Pulsar,X2 CrazyLight Medium,Medium,120,63,38,39,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,XS-1,Optical,Forward (55%),32000,8000,750,50,2,0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar,USD,,0.5,
AJAZZ T520 Max,26.99,AJAZZ,T520 Max,Medium,118.5,62,38.9,63,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Centered (50%),26000,1000,650,50,2,0,No,Unspecified,Mechanical Encoder,Carbon fiber composite,Wireless,PixArt,TTC,Unspecified,USD,,0.5,
Attack Shark V5,66.99,Attack,Shark V5,Medium,121,65,38,53,Symmetrical,Right,Back - moderate,Outward - moderate,Inward,No,No,PAW3950 Max,Optical,Forward (54%),42000,8000,750,50,2,0,No,D2FC-F-7N(100M),Mechanical Encoder,Plastic,Wireless,PixArt,Omron,Unspecified,USD,,0.5,
LAMZU MAYA Champion Edition,101.99,LAMZU,MAYA Champion Edition,Medium,119,62,38,45,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,LAMZU,USD,,0.5,
Attack Shark R11 Ultra,77.99,Attack,Shark R11 Ultra,Medium,124,65.5,38,49,Symmetrical,Right,Back - minimal,Outward - moderate,Flat,No,No,PAW3950 Max,Optical,Forward (55%),42000,8000,750,50,2,0,No,Optical,Encoder,Carbon fiber composite,Wireless,PixArt,Omron,F-Switch,USD,,0.5,
ATK U2 Mini,99,ATK,U2 Mini,Medium,119.5,63,38.5,38,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (53%),36000,8000,750,50,2,0,No,Transparent Pink Shell Pink Dot,E10A2,Plastic,Wireless,PixArt,Huano,F-Switch,USD,,0.5,
Darmoshark M2 Air,99.99,Darmoshark,M2 Air,Small,115.8,60.4,36.1,36,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395,Optical,Forward (54%),26000,8000,650,50,2,0,No,Azure Dragon,Gold,Magnesium (metal),Wireless,PixArt,TTC,TTC,USD,,0.5,
Keychron M4 8K,49.99,Keychron,M4 8K,Fingertip,86,54,32,35,Symmetrical,Right,Back - aggressive,Outward - moderate,Flat,No,No,PAW3950,Optical,Forward (54%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
Keychron M2 8K,49.99,Keychron,M2 8K,Medium,121.5,66.7,40.6,53,Ergonomic,Right,Back - minimal,Outward - slight,Flat,No,No,PAW3950,Optical,Centered (52%),30000,8000,750,50,2,0,No,Transparent Blue Shell Pink Dot,Mechanical Encoder,Plastic,Wireless,PixArt,Huano,Unspecified,USD,,0.5,
