Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand,Price,Price_Currency,Price_URL,Price_Confidence,Price_Title
ATK,F1 V2 Extreme,ATK F1 V2 Extreme,Medium,118.2,62.4,38.8,38.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC,109.98,USD,,0.5,
ATK,F1 V2 Ultimate,ATK F1 V2 Ultimate,Medium,118.2,62.4,38.8,39.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC,62.99,USD,,0.5,
ATK,F1 V2 Ultra Max,ATK F1 V2 Ultra Max,Medium,118.2,62.4,38.8,54.0,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395 Ultra,Optical,Centered (51%),30000.0,8000.0,650.0,50.0,2.0,0.0,No,Light Blade,Gold,Plastic,Wireless,PixArt,ATK,TTC,84.98,USD,,0.5,
EWEADN,S9 Max,EWEADN S9 Max,Large,127.0,64.8,40.5,57.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Sword GM X,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch,44.99,USD,,0.5,
EWEADN,S9+ Ultra,EWEADN S9+ Ultra,Large,127.0,64.8,40.5,56.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (52%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),Encoder,Plastic,Wireless,PixArt,Omron,F-Switch,59.99,USD,,0.5,
EWEADN,S9+ Pro,EWEADN S9+ Pro,Large,127.0,64.8,40.5,56.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (52%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Sword GM X,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch,54.99,USD,,0.5,
EWEADN,S7 Ultra,EWEADN S7 Ultra,Large,125.5,62.5,39.3,59.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3950 Ultra,Optical,Forward (54%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),Gold,Plastic,Wireless,PixArt,Omron,TTC,64.99,USD,,0.5,
EWEADN,S7 Max,EWEADN S7 Max,Large,125.5,62.5,39.3,58.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,39.99,USD,,0.5,
EWEADN,S7 Pro,EWEADN S7 Pro,Large,125.5,62.5,39.3,52.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,64.99,USD,,0.5,
EWEADN,S7,EWEADN S7,Large,125.5,62.5,39.3,52.0,Symmetrical,Right,Center,Outward - moderate,Flat,No,No,PAW3395,Optical,Forward (54%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Yellow Shell White Dot,Gold,Plastic,Wireless,PixArt,Huano,TTC,32.29,USD,,0.5,
Valkyrie,VK M3 Pro,Valkyrie VK M3 Pro,Medium,118.5,62.5,37.8,40.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (50%),42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Green,Plastic,Wireless,PixArt,Unspecified,F-Switch,49.0,USD,,0.5,
Valkyrie,VK M3,Valkyrie VK M3,Medium,118.5,62.5,37.8,40.0,Symmetrical,Right,Center,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (50%),26000.0,1000.0,650.0,50.0,2.0,0.0,No,Transparent Green Shell White Dot,Green,Plastic,Wireless,PixArt,Huano,F-Switch,49.0,USD,,0.5,
Rapoo,VT0 Max,Rapoo VT0 Max,Medium,119.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3950,Optical,Centered (51%),45000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical,GE 5.0,Plastic,Wireless,PixArt,Rapoo,Kailh,39.99,USD,,0.5,
Rapoo,VT0,Rapoo VT0,Medium,119.0,63.0,38.0,49.0,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3398,Optical,Centered (51%),26000.0,8000.0,650.0,50.0,2.0,0.0,No,D2FC-F-7N(100M),GE 5.0,Plastic,Wireless,PixArt,Omron,Kailh,26.99,USD,,0.5,
Pulsar,X2H CrazyLight Mini,Pulsar X2H CrazyLight Mini,Small,115.6,62.0,38.0,39.0,Symmetrical,Right,Back - aggressive,Outward - slight,Inward,No,No,XS-1,Optical,Forward (55%),32000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switch,Blue Encoder,Plastic,Wireless,Pulsar,Pulsar,Pulsar,129.95,USD,,0.5,
ATK,A9 Ultimate,ATK A9 Ultimate,Large,125.0,64.0,40.0,53.0,Symmetrical,Right,Center,Outward - slight,Flat,No,No,PAW3950 Ultra,Optical,-,42000.0,8000.0,750.0,50.0,2.0,0.0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC,83.98,USD,,0.5,
