Brand,Model,Name,Size,Length (mm),Width (mm),Height (mm),Weight (grams),Shape,Hand compatibility,Hump placement,Front flare,Side curvature,Thumb rest,Ring finger rest,Sensor,Sensor type,Sensor position,DPI,Polling rate (Hz),Tracking speed (IPS),Acceleration (G),Side buttons,Middle buttons,Hot-swap switches,Switches,Scroll wheel encoder,Material,Connectivity,Sensor brand,Switches brand,Scroll wheel encoder brand
PMM,PULSE,PMM PULSE,Medium,119.2,60.8,37.2,30,Symmetrical,Right,Back - moderate,Flat,Flat,No,No,PAW3950,Optical,Forward (55%),30000,8000,750,50,2,0,No,GX,Black,Plastic,Wired,PixArt,Kailh,Kailh
Dream,Machines DM9 Skill Wireless,Dream Machines DM9 Skill Wireless,Large,129,66,39,58,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3395,Optical,Backward (46%),26000,8000,650,50,2,0,No,GM 8.0,Gold,Plastic,Wireless,PixArt,Kailh,TTC
Dream,Machines DM9 Skill Wired,Dream Machines DM9 Skill Wired,Large,129,66,39,48,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PMW3389,Optical,Backward (46%),16000,1000,400,50,2,0,No,GM 8.0,Gold,Plastic,Wired,PixArt,Kailh,TTC
ATK,F1 V2 Extreme,ATK F1 V2 Extreme,Medium,118.2,62.4,38.8,38,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000,8000,750,50,2,0,No,Optical,Gold,Plastic,Wireless,PixArt,Omron,TTC
ATK,F1 V2 Ultimate,ATK F1 V2 Ultimate,Medium,118.2,62.4,38.8,39,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3950 Ultra,Optical,Centered (51%),42000,8000,750,50,2,0,No,Optical Switches,Gold,Plastic,Wireless,PixArt,ATK,TTC
ATK,F1 V2 Ultra Max,ATK F1 V2 Ultra Max,Medium,118.2,62.4,38.8,54,Symmetrical,Right,Back - minimal,Outward - moderate,Inward,No,No,PAW3395 Ultra,Optical,Centered (51%),30000,8000,650,50,2,0,No,Light Blade,Gold,Plastic,Wireless,PixArt,ATK,TTC
Kysona,Vela SE,Kysona Vela SE,Medium,118,63.5,38,45,Symmetrical,Right,Back - moderate,Outward - slight,Inward,No,No,PAW3311,Optical,Forward (55%),12000,1000,300,35,2,0,No,Blue Shell White Dot,Encoder,Plastic,Wireless,PixArt,Huano,FSWQ
Project,W Opus,Project W Opus,Medium,118.7,61.9,38.2,38,Symmetrical,Right,Center,Outward - moderate,Inward,No,No,PAW3950,Optical,Forward (56%),30000,8000,750,50,2,0,No,Optical,Encoder,Plastic,Wireless,PixArt,Omron,F-Switch
EWEADN,S9 Max,EWEADN S9 Max,Large,127,64.8,40.5,57,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3395,Optical,Centered (52%),26000,8000,650,50,2,0,No,Sword GM X,Encoder,Plastic,Wireless,PixArt,Kailh,F-Switch
EWEADN,S9+ Ultra,EWEADN S9+ Ultra,Large,127,64.8,40.5,56,Symmetrical,Right,Back - minimal,Outward - slight,Inward,No,No,PAW3950 Ultra,Optical,Centered (52%),42000,8000,750,50,2,0,No,D2FC-F-7N(100M),Encoder,Plastic,Wireless,PixArt,Omron,F-Switch
